ID,nome,regime,dt_documento,sigla
1,Presídio Alfredo Tranjan - SEAPAT  ,Fechado,14/01/2019,SEAPAT
2,Penitenciária Dr. Serrano Neves - SEAPSN ,Fechado,14/01/2019,SEAPSN
3,Penitenciária Industrial Esmeraldino Bandeira - SEAPEB ,Fechado,14/01/2019,SEAPEB
4,Presídio Elizabeth Sá Rego - SEAPSR,Fechado,14/01/2019,SEAPSR
5,Presídio Milton Dias Moreira -SEAPMM,Fechado,14/01/2019,SEAPMM
6,Presídio  Pedrolino Werling de Oliveira - SEAPPO ,Fechado,14/01/2019,SEAPPO
7,Presídio Romeiro Neto - SEAPRN,Fechado,14/01/2019,SEAPRN
8,Presídio Hélio Gomes-SEAPHG,Fechado,14/01/2019,SEAPHG
9,Cadeia Pública Pedro Melo da Silva - SEAPPM,Fechado,14/01/2019,SEAPPM
10,Presídio José Frederico Marques - SEAPFM,Fechado,14/01/2019,SEAPFM
11,Presídio João Carlos da Silva - SEAPJCS,Provisório,14/01/2019,SEAPJCS
12,Cadeia Pública Paulo Roberto Rocha - SEAPPR,Provisório,14/01/2019,SEAPPR
13,Cadeia Pública Contrin Neto - SEAPCN,Provisório,14/01/2019,SEAPCN
14,Cadeia Pública Franz de Castro Holzwarth  – SEAPFC,Provisório,14/01/2019,SEAPFC
15,Cadeia Pública Jorge Santana – SEAPJS,Provisório,14/01/2019,SEAPJS
16,Cadeia Pública Juíza de Direito Patrícia Acioli  - SEAPJP,Provisório,14/01/2019,SEAPJP
17,Presídio ISAP Tiago Teles de Castro Domingues - SEAPTD,Provisório,14/01/2019,ISAP
18,Cadeia Pública Constantino Cokotós - SEAPCK,Provisório,14/01/2019,SEAPCK
19,Cadeia Pública Inspetor José Antonio da Costa Barros - SEAPJB,Provisório,14/01/2019,SEAPJB
20,Presídio Ary Franco - SEAPAF ,Provisório,14/01/2019,SEAPAF
21,Colônia Ag.Marco Aurélio Vergas Tavares de Mattos - SEAPAM ,Semiaberto,14/01/2019,SEAPAM
22,Instituto Penal Cândido Mendes -  SEAPCM,Semiaberto,14/01/2019,SEAPCM
23,Instituto Penal Edgard Costa - SEAPEC ,Semiaberto,14/01/2019,SEAPEC
24,Instituto Penal Ismael Pereira Sirieiro - SEAPIS,Semiaberto,14/01/2019,SEAPIS
25,Instituto Penal Plácido Sá Carvalho - SEAPPC,Semiaberto,14/01/2019,SEAPPC
26,Instituto Penal Cel. PM Francisco Spargoli Rocha - SEAPFS,Semiaberto,14/01/2019,SEAPFS
27,Instituto Penal Benjamin de Moraes Filho - SEAPBM,Semiaberto,14/01/2019,SEAPBM
28,Instituto Penal Vicente Piragibe - SEAPVP ,Semiaberto,14/01/2019,SEAPVP
29,Penitenciária Muniz Sodré - SEAPMS,Semiaberto,14/01/2019,SEAPMS
30,Presídio Evaristo de Moraes - SEAPEM ,Fechado,14/01/2019,SEAPEM
30,Presídio Evaristo de Moraes - SEAPEM ,Provisório,14/01/2019,SEAPEM
31,Presídio Diomedes Vinhosa Muniz - SEAPVM,Fechado,14/01/2019,SEAPVM
31,Presídio Diomedes Vinhosa Muniz - SEAPVM,Provisório,14/01/2019,SEAPVM
31,Presídio Diomedes Vinhosa Muniz - SEAPVM,Semiaberto,14/01/2019,SEAPVM
31,Presídio Diomedes Vinhosa Muniz - SEAPVM,Aberto,14/01/2019,SEAPVM
32,Presídio Dalton Crespo de Castro - SEAPDC,Fechado,14/01/2019,SEAPDC
32,Presídio Dalton Crespo de Castro - SEAPDC,Provisório,14/01/2019,SEAPDC
32,Presídio Dalton Crespo de Castro - SEAPDC,Semiaberto,14/01/2019,SEAPDC
32,Presídio Dalton Crespo de Castro - SEAPDC,Aberto,14/01/2019,SEAPDC
33,Presídio  Carlos Tinoco da Fonseca - SEAPCF ,Fechado,14/01/2019,SEAPCF
33,Presídio  Carlos Tinoco da Fonseca - SEAPCF ,Provisório,14/01/2019,SEAPCF
33,Presídio  Carlos Tinoco da Fonseca - SEAPCF ,Semiaberto,14/01/2019,SEAPCF
33,Presídio  Carlos Tinoco da Fonseca - SEAPCF ,Aberto,14/01/2019,SEAPCF
34,Penitenciária Laércio da Costa Pelegrino - SEAPLP ,Fechado,14/01/2019,SEAPLP
34,Penitenciária Laércio da Costa Pelegrino - SEAPLP ,Provisório,14/01/2019,SEAPLP
35,Presídio Gabriel Ferreira Castilho - SEAPGC ,Fechado,14/01/2019,SEAPGC
35,Presídio Gabriel Ferreira Castilho - SEAPGC ,Provisório,14/01/2019,SEAPGC
36,Presídio  Jonas Lopes de Carvalho - SEAPJL  ,Fechado,14/01/2019,SEAPJL
36,Presídio  Jonas Lopes de Carvalho - SEAPJL  ,Provisório,14/01/2019,SEAPJL
37,Penitenciária Inspetor Luis Fernandes Bandeira Duarte - SEAPBD,Fechado,14/01/2019,SEAPBD
37,Penitenciária Inspetor Luis Fernandes Bandeira Duarte - SEAPBD,Semiaberto,14/01/2019,SEAPBD
38,Presídio  Lemos de Brito - SEAPLB ,Fechado,14/01/2019,SEAPLB
38,Presídio  Lemos de Brito - SEAPLB ,Provisório,14/01/2019,SEAPLB
39,Penitenciária Bandeira Stampa - SEAPBS,Fechado,14/01/2019,SEAPBS
39,Penitenciária Bandeira Stampa - SEAPBS,Provisório,14/01/2019,SEAPBS
39,Penitenciária Bandeira Stampa - SEAPBS,Semiaberto,14/01/2019,SEAPBS
40,Penitenciária Talavera Bruce - SEAPTB  ,Fechado,14/01/2019,SEAPTB
41,Unidade Materno Infantil - UMI,Fechado,14/01/2019,UMI
41,Unidade Materno Infantil - UMI,Semiaberto,14/01/2019,UMI
41,Unidade Materno Infantil - UMI,Aberto,14/01/2019,UMI
41,Unidade Materno Infantil - UMI,Provisório,14/01/2019,UMI
42,Instituto Penal Oscar Stevenson  -  SEAPOS,Semiaberto,14/01/2019,SEAPOS
42,Instituto Penal Oscar Stevenson  -  SEAPOS,Aberto,14/01/2019,SEAPOS
43,Cadeia Pública Joaquim Ferreira de Souza - SEAPJFS ,Provisório Comum,14/01/2019,SEAPJFS
43,Cadeia Pública Joaquim Ferreira de Souza - SEAPJFS ,Provisório Federal,14/01/2019,SEAPJFS
44,Presídio Nelson Hungria - SEAPNH,Fechado,14/01/2019,SEAPNH
44,Presídio Nelson Hungria - SEAPNH,Provisório,14/01/2019,SEAPNH
45,Presídio Nilza da Silva Santos - SEAPNS,Fechado,14/01/2019,SEAPNS
45,Presídio Nilza da Silva Santos - SEAPNS,Provisório,14/01/2019,SEAPNS
45,Presídio Nilza da Silva Santos - SEAPNS,Semiaberto,14/01/2019,SEAPNS
45,Presídio Nilza da Silva Santos - SEAPNS,Aberto,14/01/2019,SEAPNS
46,Casa do Albergardo Crispim Ventino - SEAPAC -MASCULINO,Aberto,14/01/2019,SEAPAC
47,Hospital Dr. Hamilton Agostinho V. de Castro - SEAPHA ,Fechado,14/01/2019,SEAPHA
48,Hospital de Custódia e Trat. Psiquiátrico Henrique Roxo - SEAPHR ,Medida de Segurança,14/01/2019,SEAPHR
49,Hospital Penal Psiquiátrico Roberto Medeiros - SEAPRM ,Medida de Segurança,14/01/2019,SEAPRM
50,Sanatório Penal - SEAPSP - FEM,Fechado,14/01/2019,SEAPSP
51,Sanatório Penal - SEAPSP ,Fechado,14/01/2019,SEAPSP
